lat,lon,wheelchair
55.7652874,37.6040464,0
55.7652976,37.6050252,0
55.7654966,37.6036586,0
55.7681694,37.6139141,1
55.7672164,37.6084775,0
55.7650929,37.6053706,0
55.8595121,37.4367939,0
55.7031113,37.842188,1
55.6758565,37.6619094,1
55.805477,37.5153563,0
55.8045177,37.5143197,0
55.7097196,37.5963794,1
55.8797762,37.6961299,0
55.7357489,37.5198034,1
55.6259294,37.6761958,1
55.8320744,37.6612274,1
55.7176931,37.4133394,1
55.7590236,37.6260214,1
55.7588208,37.6263291,0
55.7596047,37.6285053,0
55.7589428,37.6271578,0
55.7319838,37.6045696,0
55.850796,37.4323524,0
55.8509479,37.4340142,0
55.6559826,37.4041896,0
55.6896217,37.5670038,1
55.651863,37.395805,0
55.7067463,37.6171431,0
55.727632,37.5803116,0
55.7744236,37.6557051,0
55.7757064,37.6553009,0
55.7758358,37.6559089,0
55.7752724,37.6557784,0
55.7751282,37.6566322,0
55.7409522,37.6276453,0
55.6382359,37.6688379,1
55.6382593,37.667633,1
55.7174324,37.4139144,1
55.7183261,37.4191984,1
55.7171684,37.411863,1
55.6728813,37.6103367,0
55.8461495,37.4387397,0
55.744597,37.5828497,1
55.655016,37.5835282,0
55.7473074,37.6808379,0
55.7956054,37.8195418,0
55.7964998,37.8194115,1
55.7933244,37.8122848,0
55.7936939,37.8196073,0
55.7933033,37.8180525,0
55.7932732,37.8143566,1
55.8577594,37.4213617,1
55.8577863,37.5154042,0
55.8196623,37.802245,1
55.819666,37.8024375,1
55.8196711,37.8026989,1
55.8196883,37.8038837,0
55.7878196,37.7801222,0
55.7878185,37.7798947,0
55.7876438,37.7801145,0
55.7876438,37.7798947,0
55.7168877,37.6101185,0
55.716928,37.6189027,1
55.7264249,37.5791868,0
55.7559622,37.6583138,0
55.6578724,37.541968,0
55.6579145,37.540779,0
55.6581984,37.5410912,0
55.6576211,37.5416955,0
55.746454,37.6788754,0
55.7472975,37.6818976,1
55.7435204,37.5071174,1
55.7541942,37.6113039,1
55.6216756,37.6092977,0
55.6571303,37.3907607,1
55.6542433,37.3865316,1
55.6473644,37.4151836,0
55.6496726,37.4101407,0
55.7995237,37.8042145,1
55.7492739,37.5020222,1
55.7470333,37.4936507,1
55.7489247,37.5002358,1
55.7473442,37.495477,1
55.7478185,37.4944563,1
55.7173965,37.8201995,1
55.7386814,37.490684,1
55.6562593,37.4027126,0
55.6564808,37.4024699,0
55.6182552,37.5070676,1
55.6184057,37.5069442,1
55.8638717,37.4250872,1
55.6036933,37.4906682,1
55.6509746,37.3970764,0
55.7203912,37.7861634,1
55.7770929,37.6152783,1
55.9116179,37.3969866,1
55.9108627,37.3969552,1
55.889473,37.5940134,1
55.8891575,37.594626,0
55.67767,37.6645402,1
55.5667867,37.576364,0
55.7921281,37.6226874,1
55.747189,37.5529731,1
55.7472161,37.5529523,1
55.8598069,37.4327231,0
55.7361087,37.594904,0
55.7620699,37.6094986,1
55.7609568,37.6219009,1
55.8031604,37.5191338,1
